webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:31:58 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:03 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:03 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:05 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:07 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:09 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:10 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:11 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:13 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:14 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:16 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:17 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:18 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:19 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:24 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:25 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:27 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:28 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:30 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:31 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:33 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:36 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:37 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:40 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:46 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
